"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"653","Eamonn","https://yt3.ggpht.com/a/AGF-l7_hIjHJEMo0XdNBxrxBJOeu7k4jKhlWaE9czg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCh8nuDNixk02QCc5UuT28eQ","UCh8nuDNixk02QCc5UuT28eQ","bsWWHo4KDHE","What is this? A program for ants!?","What is this? A program for ants!?","TRUE","none","0","2013-03-19T20:37:59.000Z","2013-03-19T20:37:59.000Z","Ugwa7yU73V8peXDGFjl4AaABAg",NA,NA
"654","materhorn1","https://yt3.ggpht.com/a/AGF-l795iOVjEu-mC_8XSrGWT7Ysl2PXIIj8X1LKSg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCs2Tx201fcT6yabdUhfjPCQ","UCs2Tx201fcT6yabdUhfjPCQ","bsWWHo4KDHE","Awesome. I studied C++ around 13 years and never managed to understand a single bit of it. Now I work in different field and don&#39;t use any programming etc, since I don&#39;t have to. But your videos enticed me to learn C++ again, as I find it much more interesting and engaging than my instructor told us. Thanks !!","Awesome. I studied C++ around 13 years and never managed to understand a single bit of it. Now I work in different field and don't use any programming etc, since I don't have to. But your videos enticed me to learn C++ again, as I find it much more interesting and engaging than my instructor told us. Thanks !!","TRUE","none","0","2013-03-17T00:22:37.000Z","2013-03-17T00:22:37.000Z","Ugw5ZTRyJb1BFapBFoJ4AaABAg",NA,NA
"655",".","https://yt3.ggpht.com/a/AGF-l79rPYsXCvkhnakNwvdwPLyBiBjcB_bjG4RRGw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC8IRvTTSOurk5Fo0njeigQg","UC8IRvTTSOurk5Fo0njeigQg","bsWWHo4KDHE","True.. :P ","True.. :P ","TRUE","none","0","2013-03-16T17:25:35.000Z","2013-03-16T17:25:35.000Z","UgwPRBYlI5F4KMhcK5R4AaABAg",NA,NA
"656","Ben Morris","https://yt3.ggpht.com/a/AGF-l78BcOo-WsOkRGdXh26aR9n15w2XtP15haDNDQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCmSYS2-Oe2pVO6PTjPvMCvQ","UCmSYS2-Oe2pVO6PTjPvMCvQ","bsWWHo4KDHE","I am so glad for these videos!!!!!
","I am so glad for these videos!!!!!
","TRUE","none","0","2013-03-16T00:36:21.000Z","2013-03-16T00:36:21.000Z","UgzIwANfksaI--lZa9R4AaABAg",NA,NA
"657","Corey Doyle","https://yt3.ggpht.com/a/AGF-l797V7rT9zqwK-lFFCistLj-0w1zsnzpfhDa0w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCd450940qDfFgXXfDlOnY5w","UCd450940qDfFgXXfDlOnY5w","bsWWHo4KDHE","You call a function in another function, you compile a program.

-Cheers","You call a function in another function, you compile a program.

-Cheers","TRUE","none","0","2013-03-15T07:52:40.000Z","2013-03-15T07:52:40.000Z","UgyH9KizEMqwnrpq8Xl4AaABAg",NA,NA
"658","Elnaz Alizadeh","https://yt3.ggpht.com/a/AGF-l7_ldSsRiyfBHJ0ELUQSbUEkg-Ph4YsBuTWSvQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC5VaxDY8XMu505JQJGcDUaA","UC5VaxDY8XMu505JQJGcDUaA","bsWWHo4KDHE","why do u repeat everything  for 10 times ! :))) ","why do u repeat everything  for 10 times ! :))) ","TRUE","none","0","2013-03-13T12:38:39.000Z","2013-03-13T12:38:39.000Z","Ugytr0wUXACExCRY07B4AaABAg",NA,NA
"659","Derick R","https://yt3.ggpht.com/a/AGF-l7-Y0QhLyzHq5NTG_upx_9XkUqoi6QN0YpDXqw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCB63Y_Ze7Znr1DHkaLZkvcA","UCB63Y_Ze7Znr1DHkaLZkvcA","bsWWHo4KDHE","you can use visual studio. ","you can use visual studio. ","TRUE","none","0","2013-03-12T21:43:27.000Z","2013-03-12T21:43:27.000Z","Ugy9iRxtHfYlb1KSHi14AaABAg",NA,NA
"660","NinjaGaidenRed","https://yt3.ggpht.com/a/AGF-l7_i1ydb4by5XSecMbypi3-tABv22J6Jn0RMGw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCBQ4A6iCDH2sygSoQpDqaNg","UCBQ4A6iCDH2sygSoQpDqaNg","bsWWHo4KDHE","Thank you for these tutorials. My instructor ramble us students to death with stories other than programming. But, when I use this resource it makes sense!
","Thank you for these tutorials. My instructor ramble us students to death with stories other than programming. But, when I use this resource it makes sense!
","TRUE","none","0","2013-03-10T17:35:06.000Z","2013-03-10T17:35:06.000Z","UgwwQoxjVr6lsYme3ht4AaABAg",NA,NA
"661","Timzy921","https://yt3.ggpht.com/a/AGF-l78Zjqy1hqvAKQz7BLeX4StbxNwUELJBDyZGSg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC4JMEAGIFlXGF7vZzk9I6tQ","UC4JMEAGIFlXGF7vZzk9I6tQ","bsWWHo4KDHE","They&#39;re both awesome! :D ","They're both awesome! :D ","TRUE","none","0","2013-03-10T06:26:34.000Z","2013-03-10T06:26:34.000Z","Ugxstk76FS4i4OoA1xN4AaABAg",NA,NA
"662","Angie Sprinkle","https://yt3.ggpht.com/a/AGF-l78IIJHmCwuJHrZzj6SyQkD0TniK-xRme2m00w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCb-KRBWe4ZCvviQYnOn7OvQ","UCb-KRBWe4ZCvviQYnOn7OvQ","bsWWHo4KDHE","I feel like these tutorials were all created while you were drunk. Still easier to understand than my textbook, though.","I feel like these tutorials were all created while you were drunk. Still easier to understand than my textbook, though.","TRUE","none","0","2013-03-05T19:03:01.000Z","2013-03-05T19:03:01.000Z","UgxsaucG_nKOVQSbxn14AaABAg",NA,NA
